severity,area,item,detail,recommendation
pendiente/no bloqueante,vigencia_live,USDCAD.r D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,USDCHF.r M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,USDCHF.r M15,gaps cortos/anomalos: 17,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,USDCHF.r M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,USDCHF.r M30,gaps cortos/anomalos: 11,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,USDCHF.r H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,USDCHF.r H1,gaps cortos/anomalos: 5,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,USDCHF.r H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,USDCHF.r H4,gaps cortos/anomalos: 4,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,USDCHF.r D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,USDJPY M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,USDJPY M15,gaps cortos/anomalos: 9,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,USDJPY M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,USDJPY M30,gaps cortos/anomalos: 16,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,USDJPY H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,USDJPY H1,gaps cortos/anomalos: 41,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,USDJPY H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,USDJPY H4,gaps cortos/anomalos: 22,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,USDJPY D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,XAGEUR.r M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAGEUR.r M15,gaps cortos/anomalos: 910,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAGEUR.r M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAGEUR.r M30,gaps cortos/anomalos: 905,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAGEUR.r H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAGEUR.r H1,gaps cortos/anomalos: 900,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAGEUR.r H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAGEUR.r H4,gaps cortos/anomalos: 5,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAGEUR.r D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,XAGUSD.r M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAGUSD.r M15,gaps cortos/anomalos: 904,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAGUSD.r M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAGUSD.r M30,gaps cortos/anomalos: 1248,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAGUSD.r H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAGUSD.r H1,gaps cortos/anomalos: 1244,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAGUSD.r H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAGUSD.r H4,gaps cortos/anomalos: 8,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAGUSD.r D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,XAUEUR.r M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAUEUR.r M15,gaps cortos/anomalos: 905,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAUEUR.r M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAUEUR.r M30,gaps cortos/anomalos: 980,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAUEUR.r H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAUEUR.r H1,gaps cortos/anomalos: 976,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAUEUR.r H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAUEUR.r H4,gaps cortos/anomalos: 8,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAUEUR.r D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,XAUUSD.r M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAUUSD.r M15,gaps cortos/anomalos: 905,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAUUSD.r M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAUUSD.r M30,gaps cortos/anomalos: 1249,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAUUSD.r H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAUUSD.r H1,gaps cortos/anomalos: 1244,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAUUSD.r H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XAUUSD.r H4,gaps cortos/anomalos: 9,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XAUUSD.r D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,XCUUSD.r M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XCUUSD.r M15,gaps cortos/anomalos: 509,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XCUUSD.r M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XCUUSD.r M30,gaps cortos/anomalos: 506,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XCUUSD.r H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XCUUSD.r H1,gaps cortos/anomalos: 501,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XCUUSD.r H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XCUUSD.r H4,gaps cortos/anomalos: 46,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XCUUSD.r D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,XPDUSD M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XPDUSD M15,gaps cortos/anomalos: 932,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XPDUSD M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XPDUSD M30,gaps cortos/anomalos: 4629,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XPDUSD H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XPDUSD H1,gaps cortos/anomalos: 2691,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XPDUSD H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XPDUSD H4,gaps cortos/anomalos: 1533,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XPDUSD D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,XPTUSD M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XPTUSD M15,gaps cortos/anomalos: 914,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XPTUSD M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XPTUSD M30,gaps cortos/anomalos: 4625,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XPTUSD H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XPTUSD H1,gaps cortos/anomalos: 2692,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XPTUSD H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,XPTUSD H4,gaps cortos/anomalos: 1537,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,XPTUSD D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
